Year,Units,Sustainably managed status,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2014,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,821768.8309
2014,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,64839.0
2015,Hectares,Certified,,Hectares,Units,Undefined,,1375485.2980000002
2015,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,355674.8382
2015,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,141361.83
2015,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,813327.63
2015,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65121.0
2016,Hectares,Certified,,Hectares,Units,Undefined,,1350013.4730000002
2016,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,337187.7943
2016,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,141220.5788
2016,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,806343.7594
2016,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65261.34
2017,Hectares,Certified,,Hectares,Units,Undefined,,1388032.8380000002
2017,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,336879.1557
2017,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,145103.4381
2017,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,840705.3847
2017,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65344.86
2018,Hectares,Certified,,Hectares,Units,Undefined,,1375559.836
2018,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,332189.6516
2018,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,144762.6672
2018,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,833262.7674
2018,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65344.74989
2019,Hectares,Certified,,Hectares,Units,Undefined,,1400356.445
2019,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,324925.5443
2019,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,146329.3482
