Year,Units,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018,Proportion of bodies of water with good ambient water quality,Good,,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31
2018,Proportion of bodies of water with good ambient water quality,,Rivers and canals,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31
2018,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0
2018,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31
2018,Proportion of bodies of water with good ambient water quality,,Lakes,Northern Ireland,Percentage (%),Units,Undefined,N92000002,24
2018,Proportion of bodies of water with good ambient water quality,High,Lakes,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0
2018,Proportion of bodies of water with good ambient water quality,Good,Lakes,Northern Ireland,Percentage (%),Units,Undefined,N92000002,24
2018,Proportion of bodies of water with good ambient water quality,,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Undefined,N92000002,40
2018,Proportion of bodies of water with good ambient water quality,High,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0
2018,Proportion of bodies of water with good ambient water quality,Good,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Undefined,N92000002,40
