Year,Units,Sustainably managed status,Country,Sustainably managed status,Unit measure,Unit multiplier,Observation status,Unit measure,GeoCode,Value
2017,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65344.86
2018,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1375559.836
2018,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,332189.6516
2018,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,144762.6672
2018,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,833262.7674
2018,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65344.74989
2019,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1400356.445
2019,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,324925.5443
2019,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,146329.3482
2019,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,863589.1429
2019,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65512.41
2001,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,35.71042814
2001,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,23.0329498
2001,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,41.4162962
2001,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,43.92905418
2001,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,75.26746988
2002,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,36.02023477
2002,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,23.50074096
2002,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,41.24487673
2002,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,44.24162982
2002,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,74.37142857
2003,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,
2003,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,
2003,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,
2003,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,
2003,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,
2004,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,38.52305329
2004,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,23.45300892
2004,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,42.03719721
2004,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,49.54191195
2004,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,75.8974359
2005,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,41.60701931
2005,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,26.92108544
