Year,Units,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,Particulate matter (PM),,Kingston upon Hull,Undefined,Units,microgram/m3,E06000010,12.35895879
2013,Particulate matter (PM),,Leamington Spa,Undefined,Units,microgram/m3,,12.98562446
2013,Particulate matter (PM),PM 10,Leamington Spa,Undefined,Units,microgram/m3,,18
2013,Particulate matter (PM),,Leamington Spa,Undefined,Units,microgram/m3,,13
2016,Particulate matter (PM),PM 10,Leamington Spa,Undefined,Units,microgram/m3,,16
2016,Particulate matter (PM),,Leamington Spa,Undefined,Units,microgram/m3,,10
2008,Particulate matter (PM),PM 10,Leeds,Undefined,Units,microgram/m3,E08000035,22.603
2011,Particulate matter (PM),PM 10,Leeds,Undefined,Units,microgram/m3,E08000035,20.678
2013,Particulate matter (PM),,Leeds,Undefined,Units,microgram/m3,E08000035,15.30161227
2016,Particulate matter (PM),PM 10,Leeds,Undefined,Units,microgram/m3,E08000035,18
2016,Particulate matter (PM),,Leeds,Undefined,Units,microgram/m3,E08000035,11
2008,Particulate matter (PM),PM 10,Leicester,Undefined,Units,microgram/m3,E06000016,16.992
2011,Particulate matter (PM),PM 10,Leicester,Undefined,Units,microgram/m3,E06000016,17.455
2016,Particulate matter (PM),PM 10,Leicester,Undefined,Units,microgram/m3,E06000016,22
2016,Particulate matter (PM),,Leicester,Undefined,Units,microgram/m3,E06000016,12
2008,Particulate matter (PM),PM 10,Liverpool,Undefined,Units,microgram/m3,E08000012,15.852
2011,Particulate matter (PM),PM 10,Liverpool,Undefined,Units,microgram/m3,E08000012,16.23
2013,Particulate matter (PM),,Liverpool,Undefined,Units,microgram/m3,E08000012,11.62283464
2013,Particulate matter (PM),PM 10,Liverpool,Undefined,Units,microgram/m3,E08000012,14
2013,Particulate matter (PM),,Liverpool,Undefined,Units,microgram/m3,E08000012,12
2013,Particulate matter (PM),,Londonderry,Undefined,Units,microgram/m3,,11.48932256
2015,Particulate matter (PM),PM 10,Londonderry,Undefined,Units,microgram/m3,,16
2015,Particulate matter (PM),,Londonderry,Undefined,Units,microgram/m3,,12
2008,Particulate matter (PM),PM 10,Manchester,Undefined,Units,microgram/m3,E08000003,19.861
2013,Particulate matter (PM),,Manchester,Undefined,Units,microgram/m3,E08000003,12.50100951
2016,Particulate matter (PM),PM 10,Manchester,Undefined,Units,microgram/m3,E08000003,15
2016,Particulate matter (PM),,Manchester,Undefined,Units,microgram/m3,E08000003,10
2013,Particulate matter (PM),,Middlesbrough,Undefined,Units,microgram/m3,E06000002,10.95825117
2015,Particulate matter (PM),PM 10,Middlesbrough,Undefined,Units,microgram/m3,E06000002,15
